Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Biological soil crust community site]	Term Source REF	Term Accession Number	Factor Value[Biological species]	Term Source REF	Term Accession Number
M.fragrans.GOT.2.autoMSMS.neg_P1.A.2_1_7160	Mannia fragrans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_179045	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	M.fragrans.GOT.2.autoMSMS.neg_P1.A.2_1_7160	M.fragrans.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Mannia fragrans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_179045
M.fragrans.GOT.3.autoMSMS.neg_P1.A.3_1_7161	Mannia fragrans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_179045	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	M.fragrans.GOT.3.autoMSMS.neg_P1.A.3_1_7161	M.fragrans.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Mannia fragrans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_179045
R.hemisphaerica.GOT.1.autoMSMS.neg_P1.A.4_1_7162	Reboulia hemisphaerica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_37395	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.hemisphaerica.GOT.1.autoMSMS.neg_P1.A.4_1_7162	R.hemisphaerica.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Reboulia hemisphaerica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_37395
R.hemisphaerica.GOT.2.autoMSMS.neg_P1.A.5_1_7171	Reboulia hemisphaerica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_37395	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.hemisphaerica.GOT.2.autoMSMS.neg_P1.A.5_1_7171	R.hemisphaerica.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Reboulia hemisphaerica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_37395
R.hemisphaerica.GOT.3.autoMSMS.neg_P1.A.6_1_7172	Reboulia hemisphaerica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_37395	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.hemisphaerica.GOT.3.autoMSMS.neg_P1.A.6_1_7172	R.hemisphaerica.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Reboulia hemisphaerica	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_37395
A.hyalina.GOT.1.autoMSMS.neg_P1.A.7_1_7173	Athalamia hyalina	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122615	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	A.hyalina.GOT.1.autoMSMS.neg_P1.A.7_1_7173	A.hyalina.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Athalamia hyalina	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122615
A.hyalina.GOT.2.autoMSMS.neg_P1.A.8_1_7174	Athalamia hyalina	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122615	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	A.hyalina.GOT.2.autoMSMS.neg_P1.A.8_1_7174	A.hyalina.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Athalamia hyalina	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122615
A.hyalina.GOT.3.autoMSMS.neg_P1.A.9_1_7175	Athalamia hyalina	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122615	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	A.hyalina.GOT.3.autoMSMS.neg_P1.A.9_1_7175	A.hyalina.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.81875188, 18.573477554	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Athalamia hyalina	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122615
R.cavernosa.SWE.1.autoMSMS.pos_P1.B.4_1_7061	Riccia cavernosa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122636	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.cavernosa.SWE.1.autoMSMS.pos_P1.B.4_1_7061	R.cavernosa.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	55.935140445, 14.261055376	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia cavernosa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122636
R.cavernosa.SWE.2.autoMSMS.pos_P1.B.5_1_7119	Riccia cavernosa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122636	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.cavernosa.SWE.2.autoMSMS.pos_P1.B.5_1_7119	R.cavernosa.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	55.935140445, 14.261055376	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia cavernosa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122636
R.cavernosa.SWE.3.autoMSMS.pos_P1.B.6_1_7120	Riccia cavernosa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122636	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.cavernosa.SWE.3.autoMSMS.pos_P1.B.6_1_7120	R.cavernosa.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	55.935140445, 14.261055376	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia cavernosa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122636
R.canaliculata.GOT.1.autoMSMS.pos_P1.C.7_1_7130	Riccia canaliculata	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779758	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.canaliculata.GOT.1.autoMSMS.pos_P1.C.7_1_7130	R.canaliculata.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.79400221, 18.484261361	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia canaliculata	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779758
R.canaliculata.GOT.2.autoMSMS.pos_P1.C.8_1_7131	Riccia canaliculata	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779758	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.canaliculata.GOT.2.autoMSMS.pos_P1.C.8_1_7131	R.canaliculata.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.79400221, 18.484261361	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia canaliculata	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779758
R.canaliculata.GOT.3.autoMSMS.pos_P1.C.9_1_7132	Riccia canaliculata	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779758	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.canaliculata.GOT.3.autoMSMS.pos_P1.C.9_1_7132	R.canaliculata.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.79400221, 18.484261361	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia canaliculata	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779758
R.bifurca.GOT.1.autoMSMS.pos_P1.E.4_1_7145	Riccia bifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779757	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.bifurca.GOT.1.autoMSMS.pos_P1.E.4_1_7145	R.bifurca.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.848309241, 18.633133946	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia bifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779757
R.bifurca.GOT.2.autoMSMS.pos_P1.E.5_1_7146	Riccia bifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779757	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.bifurca.GOT.2.autoMSMS.pos_P1.E.5_1_7146	R.bifurca.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.848309241, 18.633133946	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia bifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779757
R.bifurca.GOT.3.autoMSMS.pos_P1.E.6_1_7147	Riccia bifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779757	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.bifurca.GOT.3.autoMSMS.pos_P1.E.6_1_7147	R.bifurca.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.848309241, 18.633133946	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia bifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779757
R.ciliifera.GOT.1.autoMSMS.pos_P1.D.1_1_7133	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.ciliifera.GOT.1.autoMSMS.pos_P1.D.1_1_7133	R.ciliifera.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.845770321, 18.674179874	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659
R.ciliifera.GOT.2.autoMSMS.pos_P1.D.2_1_7134	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.ciliifera.GOT.2.autoMSMS.pos_P1.D.2_1_7134	R.ciliifera.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.845770321, 18.674179874	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659
R.ciliifera.GOT.3.autoMSMS.pos_P1.D.3_1_7135	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.ciliifera.GOT.3.autoMSMS.pos_P1.D.3_1_7135	R.ciliifera.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.845770321, 18.674179874	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659
R.subbifurca.OE1.1.autoMSMS.pos_P1.D.7_1_7139	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.subbifurca.OE1.1.autoMSMS.pos_P1.D.7_1_7139	R.subbifurca.OE1	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.528407722, 16.521946862	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413
R.subbifurca.OE1.2.autoMSMS.pos_P1.D.8_1_7140	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.subbifurca.OE1.2.autoMSMS.pos_P1.D.8_1_7140	R.subbifurca.OE1	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.528407722, 16.521946862	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413
R.subbifurca.OE1.3.autoMSMS.pos_P1.D.9_1_7141	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.subbifurca.OE1.3.autoMSMS.pos_P1.D.9_1_7141	R.subbifurca.OE1	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.528407722, 16.521946862	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413
R.sorocarpa.SWE.1.autoMSMS.pos_P1.B.7_1_7121	Riccia sorocarpa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122646	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.sorocarpa.SWE.1.autoMSMS.pos_P1.B.7_1_7121	R.sorocarpa.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.358981715, 14.541635529	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia sorocarpa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122646
R.sorocarpa.SWE.2.autoMSMS.pos_P1.B.8_1_7122	Riccia sorocarpa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122646	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.sorocarpa.SWE.2.autoMSMS.pos_P1.B.8_1_7122	R.sorocarpa.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.358981715, 14.541635529	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia sorocarpa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122646
R.sorocarpa.SWE.3.autoMSMS.pos_P1.B.9_1_7123	Riccia sorocarpa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122646	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.sorocarpa.SWE.3.autoMSMS.pos_P1.B.9_1_7123	R.sorocarpa.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.358981715, 14.541635529	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia sorocarpa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122646
R.beyrichiana.OEL.1.autoMSMS.pos_P1.D.4_1_7136	Riccia beyrichiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122635	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.beyrichiana.OEL.1.autoMSMS.pos_P1.D.4_1_7136	R.beyrichiana.OEL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.588578513, 16.60593546	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia beyrichiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122635
R.beyrichiana.OEL.2.autoMSMS.pos_P1.D.5_1_7137	Riccia beyrichiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122635	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.beyrichiana.OEL.2.autoMSMS.pos_P1.D.5_1_7137	R.beyrichiana.OEL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.588578513, 16.60593546	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia beyrichiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122635
R.beyrichiana.OEL.3.autoMSMS.pos_P1.D.6_1_7138	Riccia beyrichiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122635	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.beyrichiana.OEL.3.autoMSMS.pos_P1.D.6_1_7138	R.beyrichiana.OEL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.588578513, 16.60593546	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia beyrichiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122635
R.subbifurca.OE2.1.autoMSMS.pos_P1.E.1_1_7142	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.subbifurca.OE2.1.autoMSMS.pos_P1.E.1_1_7142	R.subbifurca.OE2	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.588578513, 16.60593546	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413
R.subbifurca.OE2.2.autoMSMS.pos_P1.E.2_1_7143	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.subbifurca.OE2.2.autoMSMS.pos_P1.E.2_1_7143	R.subbifurca.OE2	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.588578513, 16.60593546	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413
R.subbifurca.OE2.3.autoMSMS.pos_P1.E.3_1_7144	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.subbifurca.OE2.3.autoMSMS.pos_P1.E.3_1_7144	R.subbifurca.OE2	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.588578513, 16.60593546	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413
R.ciliifera.HAL.1.autoMSMS.pos_P1.E.7_1_7148	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.ciliifera.HAL.1.autoMSMS.pos_P1.E.7_1_7148	R.ciliifera.HAL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	51.503291273, 11.94492469	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659
R.ciliifera.HAL.2.autoMSMS.pos_P1.E.8_1_7149	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.ciliifera.HAL.2.autoMSMS.pos_P1.E.8_1_7149	R.ciliifera.HAL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	51.503291273, 11.94492469	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659
R.ciliifera.HAL.3.autoMSMS.pos_P1.E.9_1_7150	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.ciliifera.HAL.3.autoMSMS.pos_P1.E.9_1_7150	R.ciliifera.HAL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	51.503291273, 11.94492469	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659
R.gougetiana.HAL.1.autoMSMS.pos_P1.F.1_1_7151	Riccia gougetiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122638	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.gougetiana.HAL.1.autoMSMS.pos_P1.F.1_1_7151	R.gougetiana.HAL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	51.503291273, 11.94492469	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia gougetiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122638
R.gougetiana.HAL.2.autoMSMS.pos_P1.F.2_1_7152	Riccia gougetiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122638	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.gougetiana.HAL.2.autoMSMS.pos_P1.F.2_1_7152	R.gougetiana.HAL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	51.503291273, 11.94492469	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia gougetiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122638
R.gougetiana.HAL.3.autoMSMS.pos_P1.F.3_1_7153	Riccia gougetiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122638	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.gougetiana.HAL.3.autoMSMS.pos_P1.F.3_1_7153	R.gougetiana.HAL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	51.503291273, 11.94492469	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia gougetiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122638
R.huebeneriana.GOT.1.autoMSMS.pos_P1.C.1_1_7124	Riccia huebeneriana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122639	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.huebeneriana.GOT.1.autoMSMS.pos_P1.C.1_1_7124	R.huebeneriana.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.361714341, 13.850084042	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia huebeneriana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122639
R.huebeneriana.GOT.2.autoMSMS.pos_P1.C.2_1_7125	Riccia huebeneriana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122639	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.huebeneriana.GOT.2.autoMSMS.pos_P1.C.2_1_7125	R.huebeneriana.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.361714341, 13.850084042	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia huebeneriana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122639
R.huebeneriana.GOT.3.autoMSMS.pos_P1.C.3_1_7126	Riccia huebeneriana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122639	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.huebeneriana.GOT.3.autoMSMS.pos_P1.C.3_1_7126	R.huebeneriana.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.361714341, 13.850084042	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia huebeneriana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122639
