Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Biological soil crust community site]	Term Source REF	Term Accession Number	Factor Value[Biological species]	Term Source REF	Term Accession Number
R.ciliifera.GOT.2.autoMSMS.neg_P1.D.2_1_7195	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.ciliifera.GOT.2.autoMSMS.neg_P1.D.2_1_7195	R.ciliifera.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.845770321, 18.674179874	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659
R.ciliifera.GOT.3.autoMSMS.neg_P1.D.3_1_7196	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.ciliifera.GOT.3.autoMSMS.neg_P1.D.3_1_7196	R.ciliifera.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.845770321, 18.674179874	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659
R.subbifurca.OE1.1.autoMSMS.neg_P1.D.7_1_7200	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.subbifurca.OE1.1.autoMSMS.neg_P1.D.7_1_7200	R.subbifurca.OE1	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.528407722, 16.521946862	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413
R.subbifurca.OE1.2.autoMSMS.neg_P1.D.8_1_7201	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.subbifurca.OE1.2.autoMSMS.neg_P1.D.8_1_7201	R.subbifurca.OE1	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.528407722, 16.521946862	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413
R.subbifurca.OE1.3.autoMSMS.neg_P1.D.9_1_7202	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.subbifurca.OE1.3.autoMSMS.neg_P1.D.9_1_7202	R.subbifurca.OE1	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.528407722, 16.521946862	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia subbifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_1914413
R.sorocarpa.SWE.1.autoMSMS.neg_P1.B.7_1_7182	Riccia sorocarpa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122646	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.sorocarpa.SWE.1.autoMSMS.neg_P1.B.7_1_7182	R.sorocarpa.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.358981715, 14.541635529	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia sorocarpa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122646
R.sorocarpa.SWE.2.autoMSMS.neg_P1.B.8_1_7183	Riccia sorocarpa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122646	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.sorocarpa.SWE.2.autoMSMS.neg_P1.B.8_1_7183	R.sorocarpa.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.358981715, 14.541635529	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia sorocarpa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122646
R.sorocarpa.SWE.3.autoMSMS.neg_P1.B.9_1_7184	Riccia sorocarpa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122646	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.sorocarpa.SWE.3.autoMSMS.neg_P1.B.9_1_7184	R.sorocarpa.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.358981715, 14.541635529	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia sorocarpa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122646
R.beyrichiana.OEL.1.autoMSMS.neg_P1.D.4_1_7197	Riccia beyrichiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122635	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.beyrichiana.OEL.1.autoMSMS.neg_P1.D.4_1_7197	R.beyrichiana.OEL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.588578513, 16.60593546	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia beyrichiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122635
R.beyrichiana.OEL.2.autoMSMS.neg_P1.D.5_1_7198	Riccia beyrichiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122635	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.beyrichiana.OEL.2.autoMSMS.neg_P1.D.5_1_7198	R.beyrichiana.OEL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.588578513, 16.60593546	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia beyrichiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122635
R.beyrichiana.OEL.3.autoMSMS.neg_P1.D.6_1_7199	Riccia beyrichiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122635	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.beyrichiana.OEL.3.autoMSMS.neg_P1.D.6_1_7199	R.beyrichiana.OEL	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	56.588578513, 16.60593546	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia beyrichiana	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122635
