Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Characteristics[Nr]	Term Source REF	Term Accession Number	Factor Value[Species]	Term Source REF	Term Accession Number	Factor Value[Tissue]	Term Source REF	Term Accession Number	Factor Value[Harvest Date]	Term Source REF	Term Accession Number	Factor Value[Plot]	Term Source REF	Term Accession Number	Factor Value[Diversity]	Unit	Term Source REF	Term Accession Number	Factor Value[Local Diversity]	Unit	Term Source REF	Term Accession Number
Ssup_P8_1318	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L18_Ssup_P8_1318	_018			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_1318	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R18_Ssup_P8_1318	_018			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_1412	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				exudate			Sample collection	E19_Ssup_P8_1412	_019			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	exudate			01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_1412	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L19_Ssup_P8_1412	_019			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_1412	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R19_Ssup_P8_1412	_019			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_1512	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				exudate			Sample collection	E20_Ssup_P8_1512	_020			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	exudate			01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_P8_1512	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L20_Cgla_P8_1512	_020			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_1512	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R20_Ssup_P8_1512	_020			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_P8_0912	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				exudate			Sample collection	E21_Cgla_P8_0912	_021			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	exudate			01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_P8_0912	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L21_Cgla_P8_0912	_021			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_P8_0912	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R21_Cgla_P8_0912	_021			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_1012	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				exudate			Sample collection	E22_Ssup_P8_1012	_022			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	exudate			01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_1012	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L22_Ssup_P8_1012	_022			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_1012	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R22_Ssup_P8_1012	_022			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_P8_0408	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				exudate			Sample collection	E23_Cgla_P8_0408	_023			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	exudate			01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_P8_0408	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L23_Cgla_P8_0408	_023			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_P8_0408	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R23_Cgla_P8_0408	_023			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_0508	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				exudate			Sample collection	E24_Ssup_P8_0508	_024			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	exudate			01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_0508	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L24_Ssup_P8_0508	_024			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_0508	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R24_Ssup_P8_0508	_024			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_1515	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				exudate			Sample collection	E25_Ccam_X23_1515	_025			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	exudate			04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_1515	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L25_Ccam_X23_1515	_025			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_1515	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R25_Ccam_X23_1515	_025			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_0418	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				exudate			Sample collection	E26_Ccam_X23_0418	_026			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	exudate			04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	3	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_0418	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L26_Ccam_X23_0418	_026			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	3	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_0418	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R26_Ccam_X23_0418	_026			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	3	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_0605	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				exudate			Sample collection	E27_Ccam_X23_0605	_027			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	exudate			04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	4	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_0605	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L27_Ccam_X23_0605	_027			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	4	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_0605	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R27_Ccam_X23_0605	_027			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	4	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_0802	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				exudate			Sample collection	E28_Dold_X23_0802	_028			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	exudate			04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_0802	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L28_Dold_X23_0802	_028			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_0802	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R28_Dold_X23_0802	_028			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_0103	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				exudate			Sample collection	E29_Dold_X23_0103	_029			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	exudate			04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_0103	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L29_Dold_X23_0103	_029			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_0103	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R29_Dold_X23_0103	_029			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_0513	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				exudate			Sample collection	E30_Dold_X23_0513	_030			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	exudate			04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	3	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_0513	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L30_Dold_X23_0513	_030			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	3	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_0513	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R30_Dold_X23_0513	_030			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	3	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_1410	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				exudate			Sample collection	E31_Dold_X23_1410	_031			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	exudate			04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_1410	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L31_Dold_X23_1410	_031			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_1410	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R31_Dold_X23_1410	_031			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_1510	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				exudate			Sample collection	E32_Ccam_X23_1510	_032			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	exudate			04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_1510	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L32_Ccam_X23_1510	_032			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_1510	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R32_Ccam_X23_1510	_032			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_1707	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				exudate			Sample collection	E33_Dold_X23_1707	_033			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	exudate			04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_1707	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L33_Dold_X23_1707	_033			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_1707	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R33_Dold_X23_1707	_033			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_1807	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				exudate			Sample collection	E34_Ccam_X23_1807	_034			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	exudate			04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_1807	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L34_Ccam_X23_1807	_034			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_1807	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R34_Ccam_X23_1807	_034			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_0206	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				exudate			Sample collection	E35_Ccam_X23_0206	_035			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	exudate			04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_0206	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L35_Ccam_X23_0206	_035			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ccam_X23_0206	Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R35_Ccam_X23_0206	_035			Cinnamomum camphora	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13429	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_0207	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				exudate			Sample collection	E36_Dold_X23_0207	_036			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	exudate			04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_0207	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L36_Dold_X23_0207	_036			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_X23_0207	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R36_Dold_X23_0207	_036			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	04.04.19			X23			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
